sample_id	Assigned	Unassigned_Ambiguity	Unassigned_NoFeatures	assigned_frac	ambiguity_frac
podx_C_ATAC	17517475	0	14809173	0.541889619981633	0
xugn_B_ATAC	18704686	0	10539150	0.639611232944953	0
xugn_A_ATAC	14802526	0	8794043	0.627316878144445	0
xugn_D_ATAC	17505168	0	15382820	0.532266309510938	0
xugn_C_ATAC	15141993	0	10616802	0.587837785113783	0
oapg_B_ATAC	21589577	0	11540290	0.651665067052639	0
oapg_A_ATAC	19199542	0	10591208	0.644479981202219	0
oapg_D_ATAC	13706648	0	14963494	0.478080924747425	0
oapg_C_ATAC	20854223	0	13994792	0.598416425830113	0
pamv_B_ATAC	17930446	0	7180730	0.714042464598233	0
pamv_A_ATAC	12519823	0	6361875	0.663066584371808	0
pamv_D_ATAC	12568782	0	11144788	0.530024876051982	0
pamv_C_ATAC	12253985	0	10935238	0.528434480103107	0
eipl_B_ATAC	11545648	0	12901711	0.472265654543708	0
eipl_A_ATAC	7971237	0	11125951	0.417403703623801	0
eipl_D_ATAC	16923025	0	15647613	0.519579168206653	0
eipl_C_ATAC	14861185	0	19874346	0.427838140721096	0
febc_B_ATAC	17342532	0	15228127	0.532458738400104	0
febc_A_ATAC	8824086	0	10480430	0.45709957193436	0
febc_D_ATAC	31712153	0	42033922	0.430018180628596	0
febc_C_ATAC	14635862	0	14735226	0.498308472604079	0
heja_B_ATAC	10397411	0	18002637	0.366105402357066	0
heja_A_ATAC	8970615	0	15391161	0.368225001329952	0
heja_D_ATAC	17033933	0	14875732	0.533817355964094	0
heja_C_ATAC	19746769	0	14220651	0.581344388240261	0
pelm_B_ATAC	12211353	0	13924106	0.46723315630309	0
pelm_A_ATAC	10065061	0	9861863	0.505098579188639	0
pelm_D_ATAC	12885093	0	15071092	0.460903123941983	0
pelm_C_ATAC	15084989	0	14095543	0.516953871848532	0
babk_A_ATAC	10678186	0	11688086	0.477423595671196	0
babk_B_ATAC	12448261	0	12041026	0.508314554033362	0
babk_C_ATAC	4716727	0	15520803	0.233068314166798	0
babk_D_ATAC	5507093	0	20602621	0.210921230312979	0
coyi_A_ATAC	7849222	0	4652594	0.627846546453731	0
coyi_B_ATAC	9582401	0	5363577	0.641135762410463	0
coyi_C_ATAC	8297640	0	12977257	0.390020219604353	0
coyi_D_ATAC	6733642	0	14858885	0.31185057682225	0
diku_A_ATAC	16431322	0	8956712	0.647207341852465	0
diku_B_ATAC	14308998	0	7359799	0.660350364627995	0
diku_C_ATAC	17698075	0	18691032	0.486356397808828	0
diku_D_ATAC	7010213	0	28910005	0.195160647410325	0
eiwy_A_ATAC	12086953	0	6142871	0.663031798880779	0
eiwy_B_ATAC	16664876	0	9155965	0.645404074948605	0
eiwy_C_ATAC	13185199	0	12424579	0.514850187299554	0
eiwy_D_ATAC	9807860	0	14442233	0.4044462839792	0
fafq_A_ATAC	13987764	0	7344452	0.655710780352121	0
fafq_B_ATAC	14580271	0	7517951	0.659793851288126	0
fafq_C_ATAC	21826170	0	12984398	0.626998387386267	0
fafq_D_ATAC	4600004	0	6492455	0.414696506879133	0
fikt_A_ATAC	6259324	0	4903868	0.560710950774653	0
fikt_B_ATAC	3279593	0	28020460	0.104779151651916	0
hehd_C_ATAC	5520305	0	11678410	0.320971944706334	0
hehd_D_ATAC	3964874	0	16633807	0.192481936100666	0
guss_A_ATAC	16903696	0	7341797	0.697189205432944	0
guss_B_ATAC	19521493	0	8963438	0.685327024313311	0
guss_C_ATAC	14409008	0	15373238	0.483811999941173	0
guss_D_ATAC	13876015	0	18159850	0.433140013544195	0
hayt_A_ATAC	18093385	0	7957728	0.694534049274593	0
hayt_B_ATAC	19780890	0	6289250	0.758756569776764	0
hayt_C_ATAC	20024471	0	13477586	0.597708701886574	0
hayt_D_ATAC	20369487	0	12029416	0.628709157220539	0
hehd_A_ATAC	9577626	0	6353124	0.601203709806506	0
hehd_B_ATAC	11189997	0	7166309	0.609599611163597	0
fikt_C_ATAC	8741233	0	9464627	0.480132935219759	0
fikt_D_ATAC	12120655	0	15904093	0.43249826902993	0
iill_A_ATAC	8218745	0	4497692	0.646308789167909	0
iill_B_ATAC	17706568	0	7169288	0.711797334732923	0
iill_C_ATAC	12914599	0	8288695	0.609084560163152	0
iill_D_ATAC	12728643	0	12580922	0.50291828405585	0
nukw_A_ATAC	14782830	0	8574480	0.632899507691596	0
nukw_B_ATAC	11583398	0	6124716	0.654129400793331	0
nukw_C_ATAC	16462309	0	11076591	0.597783825788249	0
nukw_D_ATAC	17850501	0	9814250	0.645243508607759	0
oevr_A_ATAC	12463664	0	13502521	0.479995963981617	0
oevr_B_ATAC	14895619	0	14981516	0.498562496035848	0
oevr_C_ATAC	11084888	0	21875877	0.336305543879215	0
oevr_D_ATAC	10181246	0	16124087	0.387041137247721	0
qaqx_A_ATAC	4157986	0	24961678	0.142789628341865	0
qaqx_B_ATAC	6041634	0	26607482	0.185047399139383	0
qaqx_C_ATAC	13316993	0	12791891	0.510056002393668	0
qaqx_D_ATAC	9562711	0	17344940	0.355390033860629	0
qolg_A_ATAC	11664130	0	7642091	0.604164326099862	0
qolg_B_ATAC	11122165	0	7324060	0.602950739243395	0
qolg_C_ATAC	13977965	0	11437607	0.549976408164255	0
qolg_D_ATAC	14636966	0	14154180	0.508384278972431	0
sojd_A_ATAC	7380413	0	15736969	0.319258166863359	0
sojd_B_ATAC	9319252	0	19580316	0.322470287445127	0
sojd_C_ATAC	8193944	0	21408350	0.276800980356455	0
sojd_D_ATAC	9616378	0	17166321	0.359051864041036	0
uaqe_A_ATAC	5027839	0	18892337	0.210192391560999	0
uaqe_B_ATAC	7016233	0	20395594	0.255956416184883	0
uaqe_C_ATAC	10264761	0	18167219	0.361028707814229	0
uaqe_D_ATAC	10294277	0	18557421	0.356799693383731	0
zaui_A_ATAC	10051701	0	10188933	0.496609987612048	0
zaui_B_ATAC	11736567	0	11543249	0.504152051717247	0
zaui_C_ATAC	11186977	0	18266199	0.37982243408996	0
zaui_D_ATAC	7297175	0	21788321	0.250887074437376	0
