sample_id	donor	condition	replicate	Date	ng_ul	ratio_260_280	ratio_260_230	ng_ul_mean	extraction_date
jorr_C	jorr	C	1	2015-02-05	134.64	2	2.21	159.8025	2015-02-05
jorr_D	jorr	D	1	2015-02-05	142.16	2.04	2.32	159.8025	2015-02-05
eofe_A	eofe	A	1	2015-02-05	38.88	1.97	1.71	49.185	2015-02-05
eofe_B	eofe	B	1	2015-02-05	68.98	2.07	3.38	49.185	2015-02-05
eofe_C	eofe	C	1	2015-02-05	49.56	1.93	2.33	49.185	2015-02-05
eofe_D	eofe	D	1	2015-02-05	39.32	1.94	1.83	49.185	2015-02-05
cups_A	cups	A	1	2015-04-25	59.43	2.05	1.98	97.6275	2015-04-25
cups_B	cups	B	1	2015-04-25	125.19	2.04	2.1	97.6275	2015-04-25
cups_C	cups	C	1	2015-04-25	74.02	2.05	2.04	97.6275	2015-04-25
cups_D	cups	D	1	2015-04-25	131.87	2.07	2.1	97.6275	2015-04-25
uimo_A	uimo	A	1	2015-04-25	120.13	2.09	2.07	82.2125	2015-04-25
uimo_B	uimo	B	1	2015-04-25	68	2.07	1.96	82.2125	2015-04-25
uimo_C	uimo	C	1	2015-04-25	42.63	2.1	1.9	82.2125	2015-04-25
uimo_D	uimo	D	1	2015-04-25	98.09	2.04	1.95	82.2125	2015-04-25
yemz_A	yemz	A	1	2015-04-25	99.16	2.08	2.14	88.2075	2015-04-25
yemz_B	yemz	B	1	2015-04-25	143.97	2.05	2.14	88.2075	2015-04-25
yemz_C	yemz	C	1	2015-04-25	66.84	2.03	2.02	88.2075	2015-04-25
yemz_D	yemz	D	1	2015-04-25	42.86	1.95	1.42	88.2075	2015-04-25
cicb_A	cicb	A	1	2015-04-25	146.53	2.06	1.58	146.9575	2015-04-25
cicb_B	cicb	B	1	2015-04-25	184.59	2.11	2.05	146.9575	2015-04-25
cicb_C	cicb	C	1	2015-04-25	130.66	2.08	2.07	146.9575	2015-04-25
cicb_D	cicb	D	1	2015-04-25	126.05	2.11	1.82	146.9575	2015-04-25
ieki_A	ieki	A	1	2015-04-25	200.62	2.11	1.87	228.3525	2015-04-25
ieki_B	ieki	B	1	2015-04-25	205.02	2.12	1.85	228.3525	2015-04-25
ieki_C	ieki	C	1	2015-04-25	246.02	2.06	2.13	228.3525	2015-04-25
ieki_D	ieki	D	1	2015-04-25	261.75	2.06	1.53	228.3525	2015-04-25
iicq_A	iicq	A	1	2015-04-25	48.73	2.05	1.67	64.63	2015-04-25
iicq_B	iicq	B	1	2015-04-25	83.7	2.05	2.03	64.63	2015-04-25
iicq_C	iicq	C	1	2015-04-25	51.86	2.16	1.2	64.63	2015-04-25
iicq_D	iicq	D	1	2015-04-25	74.23	2.17	1.99	64.63	2015-04-25
nibo_A	nibo	A	1	2015-04-25	151.62	2.08	1.84	160.7725	2015-04-25
nibo_B	nibo	B	1	2015-04-25	211	2.07	2.09	160.7725	2015-04-25
nibo_C	nibo	C	1	2015-04-25	111.92	2.1	1.76	160.7725	2015-04-25
nibo_D	nibo	D	1	2015-04-25	168.55	2.08	2.09	160.7725	2015-04-25
vass_A	vass	A	1	2015-04-27	149.19	2.1	2.14	121.2975	2015-04-27
vass_B	vass	B	1	2015-04-27	193.92	2.09	2.11	121.2975	2015-04-27
vass_C	vass	C	1	2015-04-27	57.73	2.16	1.83	121.2975	2015-04-27
vass_D	vass	D	1	2015-04-27	84.35	2.12	2.01	121.2975	2015-04-27
ougl_A_2	ougl	A	2	2015-04-27	84.4	2.16	2.13	113.875	2015-04-27
ougl_B_2	ougl	B	2	2015-04-27	180.14	2.09	2.16	113.875	2015-04-27
ougl_C_2	ougl	C	2	2015-04-27	75.56	2.1	1.8	113.875	2015-04-27
ougl_D_2	ougl	D	2	2015-04-27	115.4	2.07	1.98	113.875	2015-04-27
nusw_A	nusw	A	1	2015-04-27	152.58	2.06	2.17	111.66	2015-04-27
nusw_B	nusw	B	1	2015-04-27	151.26	2.07	2.17	111.66	2015-04-27
nusw_C	nusw	C	1	2015-04-27	53.21	2.08	2.09	111.66	2015-04-27
nusw_D	nusw	D	1	2015-04-27	89.59	2.09	2.01	111.66	2015-04-27
oefg_A	oefg	A	1	2015-04-29	408.03	2.04	2.14	366.9925	2015-04-29
oefg_B	oefg	B	1	2015-04-29	394.07	2.03	2.13	366.9925	2015-04-29
oefg_C	oefg	C	1	2015-04-29	328.43	2.03	2.13	366.9925	2015-04-29
oefg_D	oefg	D	1	2015-04-29	337.44	2.03	2.12	366.9925	2015-04-29
eika_A	eika	A	1	2015-04-29	41.76	2.04	0.81	48.295	2015-04-29
eika_B	eika	B	1	2015-04-29	66.65	2.02	1.65	48.295	2015-04-29
eika_C	eika	C	1	2015-04-29	44.34	2.05	1.76	48.295	2015-04-29
eika_D	eika	D	1	2015-04-29	40.43	1.99	1.96	48.295	2015-04-29
pahc_A	pahc	A	1	2015-05-16	259.83	2.05	2.15	232.7675	2015-05-16
pahc_B	pahc	B	1	2015-05-16	258.35	2.06	2.1	232.7675	2015-05-16
pahc_C	pahc	C	1	2015-05-16	214.79	2.08	2.16	232.7675	2015-05-16
pahc_D	pahc	D	1	2015-05-16	198.1	2.06	1.37	232.7675	2015-05-16
wibj_A	wibj	A	1	2015-05-16	173.21	2.05	2.14	152.66	2015-05-16
wibj_B	wibj	B	1	2015-05-16	142.57	2.06	2.06	152.66	2015-05-16
wibj_C	wibj	C	1	2015-05-16	163.32	2.04	2.08	152.66	2015-05-16
wibj_D	wibj	D	1	2015-05-16	131.54	2.06	1.86	152.66	2015-05-16
xucm_A	xucm	A	1	2015-05-16	252.16	2.06	2.1	216.87	2015-05-16
xucm_B	xucm	B	1	2015-05-16	297.46	2.05	2.16	216.87	2015-05-16
xucm_C	xucm	C	1	2015-05-16	114.98	2.07	1.95	216.87	2015-05-16
xucm_D	xucm	D	1	2015-05-16	202.88	2.06	2.12	216.87	2015-05-16
mijn_A	mijn	A	1	2015-05-17	114.38	2.06	2.03	112.415	2015-05-17
mijn_B	mijn	B	1	2015-05-17	108.75	2.04	2.07	112.415	2015-05-17
mijn_C	mijn	C	1	2015-05-17	99.21	2.04	1.98	112.415	2015-05-17
mijn_D	mijn	D	1	2015-05-17	127.32	2.04	1.93	112.415	2015-05-17
eojr_A	eojr	A	1	2015-05-17	103.88	2.03	1.88	136.06	2015-05-17
eojr_B	eojr	B	1	2015-05-17	220.28	2.03	2.13	136.06	2015-05-17
eojr_C	eojr	C	1	2015-05-17	124.07	2.02	1.79	136.06	2015-05-17
eojr_D	eojr	D	1	2015-05-17	96.01	2.07	2.16	136.06	2015-05-17
sukz_A	sukz	A	1	2015-05-19	203.41	2.02	2.22	213.3725	2015-05-19
sukz_B	sukz	B	1	2015-05-19	256.46	2.04	2.21	213.3725	2015-05-19
sukz_C	sukz	C	1	2015-05-19	189.69	2.01	2.28	213.3725	2015-05-19
sukz_D	sukz	D	1	2015-05-19	203.93	2.03	2.22	213.3725	2015-05-19
kolf_A	kolf	A	1	2015-05-19	202.72	2.03	2.27	215.96	2015-05-19
kolf_B	kolf	B	1	2015-05-19	238.37	2.02	2.27	215.96	2015-05-19
kolf_C	kolf	C	1	2015-05-19	234.43	2.04	2.23	215.96	2015-05-19
kolf_D	kolf	D	1	2015-05-19	188.32	2.02	2.28	215.96	2015-05-19
veqz_A	veqz	A	1	2015-05-19	146.75	2.02	2.23	142.9	2015-05-19
veqz_B	veqz	B	1	2015-05-19	201.68	2.02	2.27	142.9	2015-05-19
veqz_C	veqz	C	1	2015-05-19	84.99	1.95	1.92	142.9	2015-05-19
veqz_D	veqz	D	1	2015-05-19	138.18	2.01	2.29	142.9	2015-05-19
joxm_A	joxm	A	1	2015-05-22	183.57	2.05	2.05	221.72	2015-05-22
joxm_B	joxm	B	1	2015-05-22	274.48	2.04	2.16	221.72	2015-05-22
joxm_C	joxm	C	1	2015-05-22	197.48	2.06	2.03	221.72	2015-05-22
joxm_D	joxm	D	1	2015-05-22	231.35	2.07	2.1	221.72	2015-05-22
bubh_A	bubh	A	1	2015-05-22	69.28	2.05	1.88	100.905	2015-05-22
bubh_B	bubh	B	1	2015-05-22	192.75	2.07	1.87	100.905	2015-05-22
bubh_C	bubh	C	1	2015-05-22	89.73	2.06	1.68	100.905	2015-05-22
bubh_D	bubh	D	1	2015-05-22	51.86	2.01	1.76	100.905	2015-05-22
iisa_A	iisa	A	1	2015-05-22	254.16	2.06	1.61	262.03	2015-05-22
iisa_B	iisa	B	1	2015-05-22	317.99	2.05	2.14	262.03	2015-05-22
iisa_C	iisa	C	1	2015-05-22	205.19	2.05	1.88	262.03	2015-05-22
iisa_D	iisa	D	1	2015-05-22	270.78	2.05	2.13	262.03	2015-05-22
ruyv_A	ruyv	A	1	2015-04-29	63.01	2.03	1.96	39.95	2015-04-29
ruyv_B	ruyv	B	1	2015-04-29	33.16	1.99	1.78	39.95	2015-04-29
ruyv_C	ruyv	C	1	2015-04-29	33.56	1.82	1.39	39.95	2015-04-29
ruyv_D	ruyv	D	1	2015-04-29	30.07	2.04	1.36	39.95	2015-04-29
