line_id	donor	clone	replicate	ips_received	ips_started	passage_received	received_as	media	EB_formation	passage_diff	diff_start	salmonella_date	atac_date	flow_date	medium_changes	terminated	status	mean_purity	max_purity	genotype_id	open_access	sex	ips_culture_days	passage_diff_bins	rna_concentration	ng_ul_mean	macrophage_harvest	rna_extraction	rna_submit	library_pool	chemistry	rna_auto	macrophage_diff_days	macrophage_diff_bins	harvest_stimulation_days	max_purity_filtered	mean_purity_filtered	purity_bins
zisa_3	zisa	3	1	2014-05-12	2014-05-12	29	alive	KSR	2014-05-18	30	2014-05-22	2014-07-15	NA	2014-07-01	8	2014-07-15	Success	0.987375415282392	0.990365448504983	HPSI0613i-zisa_3	0	male	6	30	100-200	116.8425	2014-07-09	2014-07-15	2014-11-18	3226_RNA-1_191114	V4	FALSE	58	50	6	0.990365448504983	0.987375415282392	high
oarz_2	oarz	2	2	2014-06-23	2014-09-15	36	frozen	KSR	2014-10-03	39	2014-10-06	2014-11-05	NA	2014-11-11	5	2014-11-13	Success	0.993752459661551	0.999262101534829	HPSI0513i-oarz_2	0	male	18	30	200+	247.1	2014-10-30	2014-11-06	2014-12-09	3226_RNAseq-2_111214	V4	FALSE	33	30	6	0.999262101534829	0.993752459661551	high
yuze_1	yuze	1	1	2014-07-03	2014-07-03	53	alive	KSR	2014-07-08	54	2014-07-11	2014-08-22	NA	2014-08-28	10	2014-09-09	Success	0.991012114107073	0.993635906883269	HPSI0413i-yuze_1	0	male	5	40	100-200	136.7475	2014-08-14	2014-09-08	2014-11-18	3226_RNA-2_191114	V4	FALSE	45	40	8	0.993635906883269	0.991012114107073	high
coxy_3	coxy	3	1	2014-07-08	2014-07-08	18	alive	KSR	2014-07-15	19	2014-07-19	2014-08-29	NA	2014-08-28	8	2014-09-09	Success	0.993086341566392	0.993983533882204	HPSI0413i-coxy_3	0	male	7	20	100-200	121.575	2014-08-23	2014-09-08	2014-11-18	3226_RNA-2_191114	V4	FALSE	45	40	6	0.993983533882204	0.993086341566392	high
funp_3	funp	3	1	2014-07-08	2014-07-08	27	alive	KSR	2014-07-15	28	2014-07-19	2014-08-22	NA	2014-08-28	8	2014-09-09	Success	0.980802086143332	0.98381440517939	HPSI0613i-funp_3	0	male	7	20	100-200	124.5425	2014-08-14	2014-09-08	2014-11-18	3226_RNA-2_191114	V4	FALSE	38	30	8	0.98381440517939	0.980802086143332	high
ffdm_3	ffdm	3	1	2014-07-17	2014-08-18	36	frozen	KSR	2014-09-09	39	2014-09-12	2014-10-13	NA	2014-10-29	NA	2014-10-21	Success	0.976324993274146	0.986077481840194	HPSI0813i-ffdm_3	0	male	22	30	0-100	52.225	2014-10-06	2014-12-04	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	34	30	7	NA	NA	high
fpdl_1	fpdl	1	1	2014-07-17	2014-07-18	27	frozen	KSR	2014-09-01	35	2014-09-05	2014-10-22	NA	2014-10-29	6	2014-10-21	Success	0.985855728429986	0.996969084663568	HPSI0813i-fpdl_1	0	female	45	30	0-100	86.47	2014-10-15	2014-11-15	2014-11-18	3226_RNA-3_191114	V4	FALSE	51	50	7	0.996969084663568	0.985855728429986	high
golb_1	golb	1	1	2014-07-17	2014-08-18	24	frozen	KSR	2014-09-09	29	2014-09-12	2014-10-22	NA	2014-11-11	7	2014-11-14	Success	0.782960909041483	0.788778339585712	HPSI0513i-golb_1	0	female	22	20	200+	249.0175	2014-10-15	2014-11-15	2014-11-18	3226_RNA-3_191114	V4	FALSE	43	40	7	NA	NA	low
gomv_3	gomv	3	1	2014-07-17	2014-08-18	43	frozen	KSR	2014-09-12	47	2014-09-16	2014-10-22	NA	2014-10-29	7	2014-11-14	Success	0.982432089362782	0.987661843107388	HPSI0413i-gomv_3	0	male	25	40	100-200	167.038785714286	2014-10-15	2014-11-15	2014-11-18	3226_RNA-3_191114	V4	FALSE	40	40	7	0.987661843107388	0.982432089362782	high
oeoo_2	oeoo	2	1	2014-07-17	2014-07-29	34	frozen	KSR	2014-08-13	36	2014-08-16	2014-10-13	NA	2014-09-19	5	2014-10-28	Success	0.993032876115828	0.994513389941215	HPSI0513i-oeoo_2	0	male	15	30	0-100	60.4025	2014-10-06	2014-12-04	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	61	50	7	0.994513389941215	0.993032876115828	high
huls_1	huls	1	1	2014-08-06	2014-08-06	36	alive	KSR	2014-08-09	37	2014-08-13	2014-09-18	NA	2014-09-19	6	2014-09-23	Success	0.968401116427432	0.969049043062201	HPSI0513i-huls_1	0	female	3	30	100-200	160.49	2014-09-12	2014-09-22	2014-11-18	3226_RNA-3_191114	V4	FALSE	40	40	6	0.969049043062201	0.968401116427432	low
giuo_4	giuo	4	1	2014-08-19	2014-09-03	30	frozen	KSR	2014-10-06	34	2014-10-10	2014-11-05	NA	2014-11-11	5	2014-11-13	Success	0.983813316993464	0.986366421568627	HPSI0613i-giuo_4	0	male	33	30	200+	279.085	2014-10-30	2014-11-06	2014-11-18	3226_RNA-3_191114	V4	FALSE	30	30	6	0.986366421568627	0.983813316993464	high
cuau_2	cuau	2	1	2014-09-17	2014-09-17	37	alive	KSR	2014-09-23	38	2014-09-27	2014-11-20	NA	2014-10-29	11	2014-11-25	Success	0.985291766586731	0.989448441247002	HPSI0513i-cuau_2	0	female	6	30	100-200	153.9025	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	58	50	6	0.989448441247002	0.985291766586731	high
darw_2	darw	2	1	2014-09-17	2014-09-17	37	alive	KSR	2014-09-24	38	2014-09-28	2014-11-05	NA	2014-10-29	13	2014-11-25	Success	0.989460701872407	0.990918264379415	HPSI0713i-darw_2	0	female	7	30	0-100	70.35	2014-10-30	2014-11-06	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	42	40	6	0.990918264379415	0.989460701872407	high
kaks_3	kaks	3	1	2014-09-17	2014-09-17	37	alive	KSR	2014-09-22	38	2014-09-26	2014-10-22	NA	2014-11-11	8	2014-11-14	Success	0.959817511844183	0.977188980522899	HPSI0713i-kaks_3	0	male	5	30	100-200	117.81	2014-10-15	2014-11-15	2014-11-18	3226_RNA-3_191114	V4	FALSE	30	30	7	NA	NA	low
cehw_3	cehw	3	1	2014-10-01	2014-10-01	33	alive	KSR	2014-10-07	34	2014-10-11	2014-11-20	NA	2014-11-18	9	2014-11-27	Success	0.96025135174631	0.965146865409908	HPSI0513i-cehw_3	0	female	6	30	0-100	98.1075	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	44	40	6	0.965146865409908	0.96025135174631	low
coio_2	coio	2	1	2014-10-01	2014-10-01	38	alive	KSR	2014-10-07	39	2014-10-11	2014-11-20	NA	2014-11-18	9	2014-11-27	Success	0.974881433339189	0.993852099069032	HPSI0513i-coio_2	0	female	6	30	100-200	162.7075	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-2_111214	V4	FALSE	44	40	6	0.993852099069032	0.974881433339189	high
vorx_1	vorx	1	1	2014-10-01	2014-10-01	40	alive	KSR	2014-10-06	41	2014-10-10	2014-11-20	NA	2014-11-11	7	2014-11-25	Success	0.9850997736008	0.992102353498657	HPSI0613i-vorx_1	0	male	5	40	200+	283.025	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	45	40	6	0.992102353498657	0.9850997736008	high
debk_7	debk	7	1	2014-10-06	2014-10-06	34	alive	KSR	2014-10-13	35	2014-10-16	2014-11-26	NA	2014-11-27	9	2014-12-10	Success	0.968486686889114	0.972025615099427	HPSI0513i-debk_7	0	female	7	30	0-100	73.9475	2014-11-19	2014-12-07	2014-12-09	3226_RNAseq-2_111214	V4	FALSE	44	40	7	0.972025615099427	0.968486686889114	low
voas_2	voas	2	1	2014-10-06	2014-10-06	37	alive	KSR	2014-10-13	38	2014-10-16	2014-11-26	NA	2014-11-21	10	2014-12-10	Success	0.997686233086867	0.998340123736231	HPSI0813i-voas_2	0	female	7	30	100-200	108.8125	2014-11-19	2014-12-07	2014-12-09	3226_RNAseq-2_111214	V4	FALSE	44	40	7	0.998340123736231	0.997686233086867	high
auim_2	auim	2	1	2014-10-10	2014-10-10	36	alive	KSR	2014-10-13	37	2014-10-16	2014-11-20	NA	2014-11-21	9	2014-12-10	Success	0.992998125482413	0.999834601389348	HPSI0613i-auim_2	0	female	3	30	0-100	97.0125	2014-11-14	2014-12-04	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	38	30	6	0.999834601389348	0.992998125482413	high
babk_2	babk	2	2	2014-10-10	2015-09-15	37	alive/frozen	E8	2015-10-09	41	2015-10-12	2015-12-04	2015-12-04	2015-11-27	10	2015-12-04	Success	0.97143605870021	0.973427672955975	HPSI1213i-babk_2	1	female	24	40	0-100	50.305	2015-11-25	2015-12-07	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	56	50	9	0.973427672955975	0.97143605870021	low
meqo_3	meqo	3	1	2014-10-10	2014-10-10	39	alive	KSR	2014-10-16	40	2014-10-20	2014-11-20	NA	2014-11-27	8	2014-12-10	Success	0.991630009775171	0.998533724340176	HPSI0813i-meqo_3	0	male	6	40	0-100	45.49	2014-11-14	2014-12-04	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	35	30	6	0.998533724340176	0.991630009775171	high
zuta_1	zuta	1	1	2014-10-10	2014-10-10	31	alive	KSR	2014-10-16	32	2014-10-20	2014-11-20	NA	2014-11-21	6	2014-11-27	Success	0.996773460577142	1	HPSI1113i-zuta_1	0	male	6	30	100-200	129.37	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-2_111214	V4	FALSE	35	30	6	1	0.996773460577142	high
bima_1	bima	1	1	2014-10-24	2014-10-24	40	alive	E8	2014-11-04	42	2014-11-07	2014-12-12	2014-12-12	2014-12-16	6	2014-12-19	Success	0.985013884898975	0.988939959781672	HPSI1113i-bima_1	1	male	11	40	0-100	91.64	2014-12-05	2015-02-05	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	38	30	7	0.988939959781672	0.985013884898975	high
eofe_1	eofe	1	1	2014-10-24	2014-10-24	35	alive	KSR	2014-10-29	36	2014-11-01	2014-12-12	2014-12-12	2014-12-04	8	2014-12-19	Success	0.977151100563079	0.979617478710038	HPSI1113i-eofe_1	1	female	5	30	0-100	49.185	2014-12-05	2015-02-05	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	44	40	7	0.979617478710038	0.977151100563079	low
euir_2	euir	2	1	2014-10-24	2014-10-24	51	alive	KSR	2014-10-31	52	2014-11-04	2014-12-05	NA	2014-12-04	6	2014-12-19	Success	0.987445518286905	0.990903922683343	HPSI0513i-euir_2	0	male	7	40	100-200	110.155	2014-11-28	2014-12-08	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	35	30	7	0.990903922683343	0.987445518286905	high
jorr_1	jorr	1	1	2014-10-24	2014-10-24	47	alive	KSR	2014-10-31	48	2014-11-04	2014-12-12	NA	NA	8	2014-12-19	Success	NA	NA	HPSI0613i-jorr_1	0	female	7	40	100-200	159.8025	2014-12-05	2015-02-05	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	42	40	7	NA	NA	NA
nibo_2	nibo	2	1	2014-10-24	2015-01-09	27	frozen	KSR	2015-01-30	30	2015-02-02	2015-03-25	NA	2015-04-02	10	2015-04-07	Success	0.990144119014412	0.999023709902371	HPSI1113i-nibo_2	0	female	21	30	100-200	160.7725	2015-03-18	2015-04-25	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	54	50	7	0.999023709902371	0.990144119014412	high
ougl_3	ougl	3	2	2014-11-06	2015-01-09	47	alive/frozen	KSR	2015-01-29	50	2015-02-01	2015-03-25	NA	2015-04-02	10	2015-04-07	Success	0.831803708559655	0.844165574077543	HPSI0413i-ougl_3	0	male	20	40	100-200	113.875	2015-03-18	2015-04-27	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	55	50	7	0.844165574077543	0.831803708559655	low
bubh_1	bubh	1	1	2015-01-14	2015-02-04	24	frozen	E8	2015-02-20	28	2015-02-23	2015-04-01	NA	2015-04-13	10	2015-04-10	Success	0.801584606677985	0.814091680814941	HPSI0314i-bubh_1	1	female	16	20	100-200	100.905	2015-03-25	2015-05-22	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	40	40	7	0.814091680814941	0.801584606677985	low
cicb_3	cicb	3	1	2015-01-14	2015-03-09	39	frozen	E8	2015-03-27	43	2015-03-30	2015-04-24	2015-04-24	2015-04-23	6	2015-04-29	Success	0.970668732248903	0.984043377226956	HPSI0713i-cicb_3	0	male	18	40	100-200	146.9575	2015-04-17	2015-04-25	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	28	20	7	0.984043377226956	0.970668732248903	high
cups_3	cups	3	1	2015-01-14	2015-02-02	24	frozen	KSR	2015-02-24	28	2015-02-27	2015-04-08	NA	2015-04-13	7	2015-04-07	Success	0.977788800705467	0.978835978835979	HPSI1013i-cups_3	1	female	22	20	0-100	97.6275	2015-04-01	2015-04-25	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	43	40	7	0.978835978835979	0.977788800705467	low
eika_2	eika	2	1	2015-01-14	2015-02-04	28	frozen	E8	2015-03-02	32	2015-04-05	2015-04-14	2015-04-17	2015-04-13	9	2015-04-20	Success	0.962831286360698	0.96961861667744	HPSI0913i-eika_2	1	male	26	30	0-100	48.295	2015-04-07	2015-04-29	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	43	40	7	0.96961861667744	0.962831286360698	low
eojr_3	eojr	3	1	2015-01-14	2015-03-13	35	frozen	E8	2015-03-27	39	2015-03-30	2015-05-06	2015-05-13	2015-05-05	9	2015-05-12	Success	0.986139680673915	0.990890390831619	HPSI0613i-eojr_3	0	male	14	30	100-200	136.06	2015-04-29	2015-05-17	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	40	40	7	0.990890390831619	0.986139680673915	high
febc_2	febc	2	1	2015-01-14	2015-06-06	35	frozen	E8	2015-07-03	40	2015-07-06	2015-08-04	2015-08-04	2015-08-05	6	2015-08-08	Success	0.973899045647925	0.975508796136599	HPSI0613i-febc_2	0	female	27	40	100-200	123.5825	2015-07-29	2015-08-16	2015-09-16	3226_RNAauto-160915	V4_auto	TRUE	32	30	6	0.975508796136599	0.973899045647925	low
hiaf_2	hiaf	2	1	2015-01-14	2015-05-26	26	frozen	E8	2015-06-15	31	2015-06-18	2015-07-22	2015-07-22	2015-07-21	7	2015-07-24	Success	0.994707207207207	1	HPSI1013i-hiaf_2	1	male	20	30	200+	339.4775	2015-07-16	2015-08-16	2015-09-16	3226_RNAauto-160915	V4_auto	TRUE	37	30	6	1	0.994707207207207	high
ieki_2	ieki	2	1	2015-01-14	2015-02-04	38	frozen	E8	2015-02-27	42	2015-03-02	2015-04-14	2015-04-17	2015-04-13	11	2015-04-20	Success	0.989294078287053	0.993977919036467	HPSI1113i-ieki_2	1	female	23	40	200+	228.3525	2015-04-07	2015-04-25	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	46	40	7	0.993977919036467	0.989294078287053	high
iicq_1	iicq	1	1	2015-01-14	2015-02-04	35	frozen	KSR	2015-02-23	38	2015-02-26	2015-04-08	NA	2015-04-08	7	2015-04-07	Success	0.976101007064482	0.978806553434541	HPSI0813i-iicq_1	0	female	19	30	0-100	64.63	2015-04-01	2015-04-25	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	44	40	7	0.978806553434541	0.976101007064482	low
iill_1	iill	1	1	2015-01-14	2015-09-09	36	frozen	E8	2015-09-24	40	2015-09-27	2015-11-05	2015-11-05	2015-11-03	7	2015-11-05	Success	0.996837698200606	1	HPSI0813i-iill_1	0	male	15	40	200+	332.6175	2015-10-28	2015-11-30	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	42	40	8	1	0.996837698200606	high
iisa_3	iisa	3	1	2015-01-14	2015-02-23	30	frozen	E8	2015-03-23	35	2015-03-26	2015-05-06	2015-05-13	2015-05-05	8	2015-05-12	Success	0.986971059610285	0.99948114839156	HPSI0114i-iisa_3	1	male	28	30	200+	262.03	2015-04-29	2015-05-22	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	44	40	7	0.99948114839156	0.986971059610285	high
joxm_1	joxm	1	1	2015-01-14	2015-03-10	32	frozen	E8	2015-03-23	36	2015-03-26	2015-05-06	2015-05-13	2015-05-14	9	2015-05-12	Success	0.929674554252005	0.9317955856035	HPSI0114i-joxm_1	1	female	13	30	200+	221.72	2015-04-29	2015-05-22	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	44	40	7	0.9317955856035	0.929674554252005	low
kolf_3	kolf	3	1	2015-01-14	2015-03-10	29	frozen	E8	2015-03-28	33	2015-03-31	2015-05-13	NA	NA	9	2015-05-20	Success	NA	NA	HPSI0114i-kolf_3	1	male	18	30	200+	215.96	2015-05-07	2015-05-19	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	46	40	6	NA	NA	NA
kuxp_1	kuxp	1	1	2015-01-14	2015-05-26	29	frozen	E8	2015-06-18	33	2015-06-21	2015-07-22	2015-07-22	2015-07-21	6	2015-07-24	Success	0.990134000883522	0.990428508319835	HPSI1013i-kuxp_1	1	male	23	30	200+	295.8675	2015-07-16	2015-08-18	2015-09-16	3226_RNAauto-160915	V4_auto	TRUE	34	30	6	0.990428508319835	0.990134000883522	high
mijn_2	mijn	2	1	2015-01-14	2015-03-09	36	frozen	E8	2015-03-29	40	2015-04-01	2015-05-13	NA	2015-05-14	12	2015-05-15	Success	0.774488304093567	0.779422514619883	HPSI1013i-mijn_2	0	male	20	40	100-200	112.415	2015-05-07	2015-05-17	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	45	40	6	0.779422514619883	0.774488304093567	low
nemb_1	nemb	1	1	2015-01-14	2015-06-06	49	frozen	E8	2015-06-23	44	2015-06-26	2015-07-22	NA	2015-07-27	9	2015-08-11	Success	0.964010039304826	0.973859923284558	HPSI0713i-nemb_1	0	male	17	40	100-200	160.57	2015-07-15	2015-08-26	2015-09-16	3226_RNAauto-160915	V4_auto	TRUE	29	20	7	0.973859923284558	0.964010039304826	low
nusw_2	nusw	2	1	2015-01-14	2015-02-02	25	frozen	KSR	2015-02-20	30	2015-02-23	2015-04-01	2015-04-17	NA	9	2015-04-10	Success	NA	NA	HPSI1213i-nusw_2	1	male	18	30	100-200	111.66	2015-03-25	2015-04-27	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	40	40	7	NA	NA	NA
oapg_5	oapg	5	1	2015-01-14	2015-05-26	31	frozen	E8	2015-06-18	36	2015-06-21	2015-07-31	2015-07-31	2015-07-27	7	2015-08-04	Success	0.963200083281282	0.967988757026858	HPSI0913i-oapg_5	1	female	23	30	100-200	103.115	2015-07-24	2015-08-18	2015-09-16	3226_RNAauto-160915	V4_auto	TRUE	43	40	7	0.967988757026858	0.963200083281282	low
oefg_2	oefg	2	1	2015-01-14	2015-02-04	37	frozen	KSR	2015-03-17	44	2015-03-20	2015-04-28	2015-05-06	2015-04-28	6	2015-04-29	Success	0.972804163955758	0.982173064411191	HPSI0613i-oefg_2	0	male	41	40	200+	366.9925	2015-04-21	2015-04-29	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	42	40	7	0.982173064411191	0.972804163955758	high
pahc_4	pahc	4	1	2015-01-14	2015-03-10	33	frozen	E8	2015-03-28	37	2015-03-31	2015-05-06	2015-05-06	2015-05-05	9	2015-05-12	Success	0.966647387700019	0.972623867360709	HPSI1213i-pahc_4	1	female	18	30	200+	232.7675	2015-04-29	2015-05-16	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	39	30	7	0.972623867360709	0.966647387700019	low
pamv_3	pamv	3	1	2015-01-14	2015-06-06	34	frozen	E8	2015-06-28	38	2015-07-01	2015-07-31	2015-07-31	2015-07-27	6	2015-08-04	Success	0.995810505961972	1	HPSI1013i-pamv_3	1	male	22	30	200+	258.5375	2015-07-24	2015-08-16	2015-09-16	3226_RNAauto-160915	V4_auto	TRUE	33	30	7	1	0.995810505961972	high
podx_1	podx	1	1	2015-01-14	2015-06-06	32	frozen	E8	2015-06-23	36	2015-06-26	2015-07-22	2015-07-22	2015-07-21	5	2015-07-24	Success	0.980583543240974	0.982682619647355	HPSI1113i-podx_1	1	female	17	30	0-100	93.59	2015-07-15	2015-08-14	2015-09-16	3226_RNAauto-160915	V4_auto	TRUE	29	20	7	0.982682619647355	0.980583543240974	high
ruyv_1	ruyv	1	1	2015-01-14	2015-02-04	24	frozen	KSR	2015-02-27	27	2015-03-02	2015-04-14	2015-04-17	2015-04-28	9	2015-04-21	Success	0.959751308900524	0.961223821989529	HPSI0713i-ruyv_1	0	female	23	20	0-100	39.95	2015-04-07	2015-04-29	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	46	40	7	0.961223821989529	0.959751308900524	low
sukz_1	sukz	1	1	2015-01-14	2015-03-09	23	frozen	E8	2015-03-27	27	2015-03-30	2015-05-06	2015-05-06	2015-05-05	8	2015-05-08	Success	0.993752788933512	0.999776885319054	HPSI0413i-sukz_1	0	male	18	20	200+	213.3725	2015-04-29	2015-05-19	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	40	40	7	0.999776885319054	0.993752788933512	high
uimo_1	uimo	1	1	2015-01-14	2015-02-04	39	frozen	E8	2015-02-21	43	2015-02-24	2015-04-01	2015-04-17	2015-04-13	10	2015-04-10	Success	0.985654761904762	0.988035714285714	HPSI0713i-uimo_1	0	female	17	40	0-100	82.2125	2015-03-25	2015-04-25	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	39	30	7	0.988035714285714	0.985654761904762	high
vass_1	vass	1	1	2015-01-14	2015-03-10	27	frozen	E8	2015-03-26	31	2015-03-29	2015-04-24	2015-04-24	2015-04-23	7	2015-04-29	Success	0.953984753984754	0.981704781704782	HPSI0114i-vass_1	1	female	16	30	100-200	121.2975	2015-04-17	2015-04-27	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	29	20	7	0.981704781704782	0.953984753984754	high
veqz_6	veqz	6	1	2015-01-14	2015-03-13	27	frozen	E8	2015-03-30	31	2015-04-02	2015-05-06	2015-05-06	2015-05-05	8	2015-05-12	Success	0.971101444927754	0.973751312434378	HPSI0513i-veqz_6	0	female	17	30	100-200	142.9	2015-04-29	2015-05-19	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	37	30	7	0.973751312434378	0.971101444927754	low
wibj_2	wibj	2	1	2015-01-14	2015-03-10	25	frozen	E8	2015-03-27	29	2015-03-30	2015-04-28	NA	2015-04-23	8	2015-04-29	Success	0.921697443181818	0.924715909090909	HPSI0214i-wibj_2	1	female	17	20	100-200	152.66	2015-04-21	2015-05-16	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	32	30	7	0.924715909090909	0.921697443181818	low
xucm_3	xucm	3	1	2015-01-14	2015-03-13	29	frozen	E8	2015-03-30	33	2015-04-02	2015-05-13	2015-05-13	2015-05-14	6	2015-05-12	Success	0.979376647542255	1	HPSI0613i-xucm_3	0	female	17	30	200+	216.87	2015-05-07	2015-05-16	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	44	40	6	1	0.979376647542255	high
