line_id	donor	clone	replicate	ips_received	ips_started	passage_received	received_as	media	EB_formation	passage_diff	diff_start	salmonella_date	atac_date	flow_date	medium_changes	terminated	status	comment	mean_purity	max_purity	genotype_id	open_access	sex	ips_culture_days	passage_diff_bins
qimz_1	qimz	1	1	2014-05-12	2014-05-12	26	alive	KSR	2014-05-17	27	2014-05-21	2014-07-15	NA	2014-07-01	8	2014-07-16	Success	NA	0.985408805031447	0.986666666666667	HPSI0713i-qimz_1	0	female	5	20
uoxz_5	uoxz	5	1	2014-05-12	2014-05-21	34	frozen	KSR	2014-06-09	37	2014-06-13	NA	NA	NA	13	2014-08-19	Diff_fail	Too few MFs.	NA	NA	HPSI0513i-uoxz_5	0	female	19	30
zisa_3	zisa	3	1	2014-05-12	2014-05-12	29	alive	KSR	2014-05-18	30	2014-05-22	2014-07-15	NA	2014-07-01	8	2014-07-15	Success	NA	0.987375415282392	0.990365448504983	HPSI0613i-zisa_3	0	male	6	30
oarz_2	oarz	2	1	2014-06-23	2014-06-23	35	alive	KSR	2014-06-30	36	2014-07-04	2014-08-22	NA	NA	9	2014-08-27	RNA_QC_fail	Sample A degraded. Did not sequence.	NA	NA	HPSI0513i-oarz_2	0	male	7	30
oarz_2	oarz	2	2	2014-06-23	2014-09-15	36	frozen	KSR	2014-10-03	39	2014-10-06	2014-11-05	NA	2014-11-11	5	2014-11-13	Success	NA	0.993752459661551	0.999262101534829	HPSI0513i-oarz_2	0	male	18	30
yuze_1	yuze	1	1	2014-07-03	2014-07-03	53	alive	KSR	2014-07-08	54	2014-07-11	2014-08-22	NA	2014-08-28	10	2014-09-09	Success	NA	0.991012114107073	0.993635906883269	HPSI0413i-yuze_1	0	male	5	40
coxy_3	coxy	3	1	2014-07-08	2014-07-08	18	alive	KSR	2014-07-15	19	2014-07-19	2014-08-29	NA	2014-08-28	8	2014-09-09	Success	NA	0.993086341566392	0.993983533882204	HPSI0413i-coxy_3	0	male	7	20
funp_3	funp	3	1	2014-07-08	2014-07-08	27	alive	KSR	2014-07-15	28	2014-07-19	2014-08-22	NA	2014-08-28	8	2014-09-09	Success	NA	0.980802086143332	0.98381440517939	HPSI0613i-funp_3	0	male	7	20
airc_2	airc	2	1	2014-07-17	2014-07-18	25	frozen	KSR	2014-08-12	30	2014-08-16	NA	NA	NA	NA	2014-10-06	Diff_fail	Infrequent MC	NA	NA	HPSI0313i-airc_2	0	female	25	30
ffdm_3	ffdm	3	1	2014-07-17	2014-08-18	36	frozen	KSR	2014-09-09	39	2014-09-12	2014-10-13	NA	2014-10-29	NA	2014-10-21	Success	NA	0.976324993274146	0.986077481840194	HPSI0813i-ffdm_3	0	male	22	30
fpdl_1	fpdl	1	1	2014-07-17	2014-07-18	27	frozen	KSR	2014-09-01	35	2014-09-05	2014-10-22	NA	2014-10-29	6	2014-10-21	Success	NA	0.985855728429986	0.996969084663568	HPSI0813i-fpdl_1	0	female	45	30
gedo_3	gedo	3	1	2014-07-17	2014-07-29	28	frozen	KSR	2014-08-10	31	2014-08-14	NA	NA	2014-09-19	NA	2014-10-06	FC_QC_fail	Contaminating cell type	0.845861172976986	0.847438752783964	HPSI0913i-gedo_3	0	male	12	30
golb_1	golb	1	1	2014-07-17	2014-08-18	24	frozen	KSR	2014-09-09	29	2014-09-12	2014-10-22	NA	2014-11-11	7	2014-11-14	Success	NA	0.782960909041483	0.788778339585712	HPSI0513i-golb_1	0	female	22	20
gomv_3	gomv	3	1	2014-07-17	2014-08-18	43	frozen	KSR	2014-09-12	47	2014-09-16	2014-10-22	NA	2014-10-29	7	2014-11-14	Success	NA	0.982432089362782	0.987661843107388	HPSI0413i-gomv_3	0	male	25	40
koun_2	koun	2	1	2014-07-17	2014-07-29	25	frozen	KSR	2014-08-26	30	2014-08-29	NA	NA	NA	NA	2014-10-11	Diff_fail	Infrequent MC	NA	NA	HPSI0213i-koun_2	0	female	28	30
koun_2	koun	2	2	2014-07-17	2015-01-13	31	frozen	KSR	2015-01-28	33	2015-01-31	NA	NA	NA	6	2015-03-09	Diff_fail	NA	NA	NA	HPSI0213i-koun_2	0	female	15	30
leeh_3	leeh	3	1	2014-07-17	2014-07-29	29	frozen	KSR	2014-08-09	32	2014-08-13	NA	NA	NA	NA	2014-10-06	Diff_fail	Infrequent MC	NA	NA	HPSI0513i-leeh_3	0	male	11	30
leeh_3	leeh	3	2	2014-07-17	2015-01-13	32	frozen	KSR	2015-01-30	36	2015-02-02	NA	NA	NA	5	2015-03-09	Diff_fail	NA	NA	NA	HPSI0513i-leeh_3	0	male	17	30
oeoo_2	oeoo	2	1	2014-07-17	2014-07-29	34	frozen	KSR	2014-08-13	36	2014-08-16	2014-10-13	NA	2014-09-19	5	2014-10-28	Success	NA	0.993032876115828	0.994513389941215	HPSI0513i-oeoo_2	0	male	15	30
xekf_1	xekf	1	1	2014-07-28	2014-07-28	35	alive	KSR	2014-08-01	36	2014-08-05	NA	NA	NA	NA	2014-10-06	Diff_fail	Infrequent MC	NA	NA	HPSI0413i-xekf_1	0	female	4	30
huls_1	huls	1	1	2014-08-06	2014-08-06	36	alive	KSR	2014-08-09	37	2014-08-13	2014-09-18	NA	2014-09-19	6	2014-09-23	Success	NA	0.968401116427432	0.969049043062201	HPSI0513i-huls_1	0	female	3	30
vopm_2	vopm	2	1	2014-08-06	2014-08-06	38	alive	KSR	2014-08-11	39	2014-08-15	NA	NA	NA	6	2014-10-21	Diff_fail	Too few MFs.	NA	NA	HPSI0913i-vopm_2	0	female	5	30
vopm_2	vopm	2	2	2014-08-06	2015-01-09	39	frozen	KSR	2015-01-27	42	2015-01-30	NA	NA	NA	6	2015-03-09	Diff_fail	NA	NA	NA	HPSI0913i-vopm_2	0	female	18	40
giuo_4	giuo	4	1	2014-08-19	2014-09-03	30	frozen	KSR	2014-10-06	34	2014-10-10	2014-11-05	NA	2014-11-11	5	2014-11-13	Success	NA	0.983813316993464	0.986366421568627	HPSI0613i-giuo_4	0	male	33	30
iakz_1	iakz	1	1	2014-08-19	2014-09-03	27	frozen	KSR	2014-09-23	30	2014-09-27	NA	NA	NA	6	2014-10-31	Diff_fail	EBs dissapeared.	NA	NA	HPSI0413i-iakz_1	0	male	20	30
iakz_1	iakz	1	2	2014-08-19	2015-01-09	31	frozen	KSR	2015-01-29	34	2015-02-01	NA	NA	NA	7	2015-03-09	Diff_fail	NA	NA	NA	HPSI0413i-iakz_1	0	male	20	30
uahf_3	uahf	3	1	2014-08-19	2014-09-03	31	frozen	KSR	2014-09-29	35	2014-10-03	NA	NA	2014-11-21	11	2014-11-28	FC_QC_fail	NA	0.889710144927536	0.893478260869565	HPSI0413i-uahf_3	0	female	26	30
cuau_2	cuau	2	1	2014-09-17	2014-09-17	37	alive	KSR	2014-09-23	38	2014-09-27	2014-11-20	NA	2014-10-29	11	2014-11-25	Success	NA	0.985291766586731	0.989448441247002	HPSI0513i-cuau_2	0	female	6	30
darw_2	darw	2	1	2014-09-17	2014-09-17	37	alive	KSR	2014-09-24	38	2014-09-28	2014-11-05	NA	2014-10-29	13	2014-11-25	Success	NA	0.989460701872407	0.990918264379415	HPSI0713i-darw_2	0	female	7	30
kaks_3	kaks	3	1	2014-09-17	2014-09-17	37	alive	KSR	2014-09-22	38	2014-09-26	2014-10-22	NA	2014-11-11	8	2014-11-14	Success	NA	0.959817511844183	0.977188980522899	HPSI0713i-kaks_3	0	male	5	30
uoxz_5	uoxz	5	2	2014-09-17	2014-09-17	55	alive	KSR	2014-09-22	56	2014-09-26	NA	NA	NA	8	2014-11-14	Diff_fail	Very few and very large cells	NA	NA	HPSI0513i-uoxz_5	0	female	5	40
cehw_3	cehw	3	1	2014-10-01	2014-10-01	33	alive	KSR	2014-10-07	34	2014-10-11	2014-11-20	NA	2014-11-18	9	2014-11-27	Success	NA	0.96025135174631	0.965146865409908	HPSI0513i-cehw_3	0	female	6	30
coio_2	coio	2	1	2014-10-01	2014-10-01	38	alive	KSR	2014-10-07	39	2014-10-11	2014-11-20	NA	2014-11-18	9	2014-11-27	Success	NA	0.974881433339189	0.993852099069032	HPSI0513i-coio_2	0	female	6	30
focm_1	focm	1	1	2014-10-01	2014-10-01	45	alive	KSR	2014-10-07	46	2014-10-11	NA	NA	NA	9	2014-11-27	Diff_fail	NA	NA	NA	HPSI0613i-focm_1	0	male	6	40
focm_1	focm	1	2	2014-10-01	2015-01-09	46	frozen	KSR	2015-01-27	49	2015-01-30	NA	NA	NA	6	2015-03-09	Diff_fail	NA	NA	NA	HPSI0613i-focm_1	0	male	18	40
vorx_1	vorx	1	1	2014-10-01	2014-10-01	40	alive	KSR	2014-10-06	41	2014-10-10	2014-11-20	NA	2014-11-11	7	2014-11-25	Success	vorx_1 <-> zuta_1 sample swap	0.9850997736008	0.992102353498657	HPSI0613i-vorx_1	0	male	5	40
debk_7	debk	7	1	2014-10-06	2014-10-06	34	alive	KSR	2014-10-13	35	2014-10-16	2014-11-26	NA	2014-11-27	9	2014-12-10	Success	NA	0.968486686889114	0.972025615099427	HPSI0513i-debk_7	0	female	7	30
piun_3	piun	3	1	2014-10-06	2014-10-06	38	alive	KSR	2014-10-12	39	2014-10-16	NA	NA	2014-12-04	12	2014-12-19	Success	Stimulation fail for Salmonella.	0.970686767169179	0.974371859296482	HPSI0813i-piun_3	0	female	6	30
piun_3	piun	3	2	2014-10-06	2015-01-09	39	frozen	KSR	2015-01-28	42	2015-01-31	NA	NA	2015-04-02	10	2015-04-07	FC_QC_fail	NA	0.905581814089579	0.909689399054693	HPSI0813i-piun_3	0	female	19	40
riiv_1	riiv	1	1	2014-10-06	2014-10-06	32	alive	KSR	2014-10-12	33	2014-10-16	NA	NA	2014-11-21	10	2014-12-19	Success	Not enough cells/RNA.	0.964141122035859	0.970117601696549	HPSI0613i-riiv_1	0	female	6	30
voas_2	voas	2	1	2014-10-06	2014-10-06	37	alive	KSR	2014-10-13	38	2014-10-16	2014-11-26	NA	2014-11-21	10	2014-12-10	Success	NA	0.997686233086867	0.998340123736231	HPSI0813i-voas_2	0	female	7	30
auim_2	auim	2	1	2014-10-10	2014-10-10	36	alive	KSR	2014-10-13	37	2014-10-16	2014-11-20	NA	2014-11-21	9	2014-12-10	Success	NA	0.992998125482413	0.999834601389348	HPSI0613i-auim_2	0	female	3	30
babk_2	babk	2	1	2014-10-10	2014-10-10	36	alive	E8	2014-10-25	38	2014-10-29	NA	NA	2014-12-16	9	2014-12-19	Success	Cells looked weird for Salmonella stimulation, but worked well for acLDL.	0.968871595330739	0.972618532929817	HPSI1213i-babk_2	1	female	15	30
babk_2	babk	2	2	2014-10-10	2015-09-15	37	alive/frozen	E8	2015-10-09	41	2015-10-12	2015-12-04	2015-12-04	2015-11-27	10	2015-12-04	Success	NA	0.97143605870021	0.973427672955975	HPSI1213i-babk_2	1	female	24	40
meqo_3	meqo	3	1	2014-10-10	2014-10-10	39	alive	KSR	2014-10-16	40	2014-10-20	2014-11-20	NA	2014-11-27	8	2014-12-10	Success	Not enough cells/RNA. Might still sequence.	0.991630009775171	0.998533724340176	HPSI0813i-meqo_3	0	male	6	40
zuta_1	zuta	1	1	2014-10-10	2014-10-10	31	alive	KSR	2014-10-16	32	2014-10-20	2014-11-20	NA	2014-11-21	6	2014-11-27	Success	vorx_1 <-> zuta_1 sample swap	0.996773460577142	1	HPSI1113i-zuta_1	0	male	6	30
bima_1	bima	1	1	2014-10-24	2014-10-24	40	alive	E8	2014-11-04	42	2014-11-07	2014-12-12	2014-12-12	2014-12-16	6	2014-12-19	Success	NA	0.985013884898975	0.988939959781672	HPSI1113i-bima_1	1	male	11	40
bulb_1	bulb	1	1	2014-10-24	2014-10-24	33	alive	E8	2014-11-07	35	2014-11-10	NA	NA	2014-12-16	7	2014-12-19	FC_QC_fail	Cells looked weird.	0.903173121791881	0.910405972935138	HPSI0913i-bulb_1	0	female	14	30
bulb_1	bulb	1	2	2014-10-24	2015-01-09	35	frozen	KSR	2015-01-30	38	2015-02-02	NA	NA	NA	5	2015-03-09	Diff_fail	NA	NA	NA	HPSI0913i-bulb_1	0	female	21	30
eofe_1	eofe	1	1	2014-10-24	2014-10-24	35	alive	KSR	2014-10-29	36	2014-11-01	2014-12-12	2014-12-12	2014-12-04	8	2014-12-19	Success	NA	0.977151100563079	0.979617478710038	HPSI1113i-eofe_1	1	female	5	30
euir_2	euir	2	1	2014-10-24	2014-10-24	51	alive	KSR	2014-10-31	52	2014-11-04	2014-12-05	NA	2014-12-04	6	2014-12-19	Success	NA	0.987445518286905	0.990903922683343	HPSI0513i-euir_2	0	male	7	40
jorr_1	jorr	1	1	2014-10-24	2014-10-24	47	alive	KSR	2014-10-31	48	2014-11-04	2014-12-12	NA	NA	8	2014-12-19	Success	NA	NA	NA	HPSI0613i-jorr_1	0	female	7	40
nibo_2	nibo	2	1	2014-10-24	2015-01-09	27	frozen	KSR	2015-01-30	30	2015-02-02	2015-03-25	NA	2015-04-02	10	2015-04-07	Success	NA	0.990144119014412	0.999023709902371	HPSI1113i-nibo_2	0	female	21	30
xegx_2	xegx	2	1	2014-10-24	2014-10-24	29	alive	KSR	2014-10-31	30	2014-11-04	NA	NA	NA	7	2014-12-19	Diff_fail	NA	NA	NA	HPSI0513i-xegx_2	0	female	7	30
xegx_2	xegx	2	2	2014-10-24	2015-01-21	30	frozen	KSR	2015-02-08	33	2015-02-11	NA	NA	NA	5	2015-03-09	Diff_fail	NA	NA	NA	HPSI0513i-xegx_2	0	female	18	30
nekd_1	nekd	1	1	2014-11-06	2015-02-02	32	alive/frozen	KSR	2015-02-27	37	2015-03-02	NA	NA	NA	6	2015-04-07	Diff_fail	NA	NA	NA	HPSI1213i-nekd_1	1	male	25	30
ougl_3	ougl	3	2	2014-11-06	2015-01-09	47	alive/frozen	KSR	2015-01-29	50	2015-02-01	2015-03-25	NA	2015-04-02	10	2015-04-07	Success	dium_1 -> ougl_3 sample swap	0.831803708559655	0.844165574077543	HPSI0413i-ougl_3	0	male	20	40
bezi_1	bezi	1	1	2015-01-14	2015-05-26	30	frozen	E8	2015-06-15	34	2015-06-18	NA	NA	2015-07-30	10	2015-08-12	Success	Stimulation fail for Salmonella.	0.955234474017744	0.959239543726236	HPSI0114i-bezi_1	1	female	20	30
bubh_1	bubh	1	1	2015-01-14	2015-02-04	24	frozen	E8	2015-02-20	28	2015-02-23	2015-04-01	NA	2015-04-13	10	2015-04-10	Success	NA	0.801584606677985	0.814091680814941	HPSI0314i-bubh_1	1	female	16	20
cicb_3	cicb	3	1	2015-01-14	2015-03-09	39	frozen	E8	2015-03-27	43	2015-03-30	2015-04-24	2015-04-24	2015-04-23	6	2015-04-29	Success	NA	0.970668732248903	0.984043377226956	HPSI0713i-cicb_3	0	male	18	40
cuhk_2	cuhk	2	1	2015-01-14	2015-02-04	27	frozen	E8	2015-02-17	31	2015-02-20	NA	NA	NA	9	2015-04-02	Diff_fail	NA	NA	NA	HPSI0314i-cuhk_2	1	female	13	30
cups_3	cups	3	1	2015-01-14	2015-02-02	24	frozen	KSR	2015-02-24	28	2015-02-27	2015-04-08	NA	2015-04-13	7	2015-04-07	Success	NA	0.977788800705467	0.978835978835979	HPSI1013i-cups_3	1	female	22	20
dard_2	dard	2	1	2015-01-14	2015-03-13	35	frozen	E8	2015-03-27	39	2015-03-30	NA	NA	NA	12	2015-05-20	FC_QC_fail	Contaminating cell type	NA	NA	HPSI0713i-dard_2	0	female	14	30
eika_2	eika	2	1	2015-01-14	2015-02-04	28	frozen	E8	2015-03-02	32	2015-04-05	2015-04-14	2015-04-17	2015-04-13	9	2015-04-20	Success	NA	0.962831286360698	0.96961861667744	HPSI0913i-eika_2	1	male	26	30
eojr_3	eojr	3	1	2015-01-14	2015-03-13	35	frozen	E8	2015-03-27	39	2015-03-30	2015-05-06	2015-05-13	2015-05-05	9	2015-05-12	Success	NA	0.986139680673915	0.990890390831619	HPSI0613i-eojr_3	0	male	14	30
febc_2	febc	2	1	2015-01-14	2015-06-06	35	frozen	E8	2015-07-03	40	2015-07-06	2015-08-04	2015-08-04	2015-08-05	6	2015-08-08	Success	NA	0.973899045647925	0.975508796136599	HPSI0613i-febc_2	0	female	27	40
foop_1	foop	1	1	2015-01-14	2015-05-21	25	frozen	E8	2015-06-08	29	2015-06-11	NA	NA	NA	8	2015-07-24	Diff_fail	NA	NA	NA	HPSI0713i-foop_1	0	female	18	20
hiaf_2	hiaf	2	1	2015-01-14	2015-05-26	26	frozen	E8	2015-06-15	31	2015-06-18	2015-07-22	2015-07-22	2015-07-21	7	2015-07-24	Success	NA	0.994707207207207	1	HPSI1013i-hiaf_2	1	male	20	30
ieki_2	ieki	2	1	2015-01-14	2015-02-04	38	frozen	E8	2015-02-27	42	2015-03-02	2015-04-14	2015-04-17	2015-04-13	11	2015-04-20	Success	NA	0.989294078287053	0.993977919036467	HPSI1113i-ieki_2	1	female	23	40
iicq_1	iicq	1	1	2015-01-14	2015-02-04	35	frozen	KSR	2015-02-23	38	2015-02-26	2015-04-08	NA	2015-04-08	7	2015-04-07	Success	Name corrected: licq_1 -> iicq_1	0.976101007064482	0.978806553434541	HPSI0813i-iicq_1	0	female	19	30
iill_1	iill	1	1	2015-01-14	2015-09-09	36	frozen	E8	2015-09-24	40	2015-09-27	2015-11-05	2015-11-05	2015-11-03	7	2015-11-05	Success	NA	0.996837698200606	1	HPSI0813i-iill_1	0	male	15	40
iisa_3	iisa	3	1	2015-01-14	2015-02-23	30	frozen	E8	2015-03-23	35	2015-03-26	2015-05-06	2015-05-13	2015-05-05	8	2015-05-12	Success	Keep for Seabstian.	0.986971059610285	0.99948114839156	HPSI0114i-iisa_3	1	male	28	30
joxm_1	joxm	1	1	2015-01-14	2015-03-10	32	frozen	E8	2015-03-23	36	2015-03-26	2015-05-06	2015-05-13	2015-05-14	9	2015-05-12	Success	NA	0.929674554252005	0.9317955856035	HPSI0114i-joxm_1	1	female	13	30
kolf_3	kolf	3	1	2015-01-14	2015-03-10	29	frozen	E8	2015-03-28	33	2015-03-31	2015-05-13	NA	NA	9	2015-05-20	Success	NA	NA	NA	HPSI0114i-kolf_3	1	male	18	30
kuxp_1	kuxp	1	1	2015-01-14	2015-05-26	29	frozen	E8	2015-06-18	33	2015-06-21	2015-07-22	2015-07-22	2015-07-21	6	2015-07-24	Success	NA	0.990134000883522	0.990428508319835	HPSI1013i-kuxp_1	1	male	23	30
lexy_1	lexy	1	1	2015-01-14	2015-05-26	30	frozen	E8	2015-06-15	34	2015-06-18	NA	NA	2015-07-30	9	2015-08-04	FC_QC_fail	NA	0.841197361745307	0.851598173515982	HPSI0114i-lexy_1	1	female	20	30
mijn_2	mijn	2	1	2015-01-14	2015-03-09	36	frozen	E8	2015-03-29	40	2015-04-01	2015-05-13	NA	2015-05-14	12	2015-05-15	Success	Wrong line from HipSci.	0.774488304093567	0.779422514619883	HPSI1013i-mijn_2	0	male	20	40
nemb_1	nemb	1	1	2015-01-14	2015-06-06	49	frozen	E8	2015-06-23	44	2015-06-26	2015-07-22	NA	2015-07-27	9	2015-08-11	Success	NA	0.964010039304826	0.973859923284558	HPSI0713i-nemb_1	0	male	17	40
nusw_2	nusw	2	1	2015-01-14	2015-02-02	25	frozen	KSR	2015-02-20	30	2015-02-23	2015-04-01	2015-04-17	NA	9	2015-04-10	Success	NA	NA	NA	HPSI1213i-nusw_2	1	male	18	30
oapg_5	oapg	5	1	2015-01-14	2015-05-26	31	frozen	E8	2015-06-18	36	2015-06-21	2015-07-31	2015-07-31	2015-07-27	7	2015-08-04	Success	NA	0.963200083281282	0.967988757026858	HPSI0913i-oapg_5	1	female	23	30
oefg_2	oefg	2	1	2015-01-14	2015-02-04	37	frozen	KSR	2015-03-17	44	2015-03-20	2015-04-28	2015-05-06	2015-04-28	6	2015-04-29	Success	NA	0.972804163955758	0.982173064411191	HPSI0613i-oefg_2	0	male	41	40
pahc_4	pahc	4	1	2015-01-14	2015-03-10	33	frozen	E8	2015-03-28	37	2015-03-31	2015-05-06	2015-05-06	2015-05-05	9	2015-05-12	Success	Keep for Seabstian.	0.966647387700019	0.972623867360709	HPSI1213i-pahc_4	1	female	18	30
pamv_3	pamv	3	1	2015-01-14	2015-06-06	34	frozen	E8	2015-06-28	38	2015-07-01	2015-07-31	2015-07-31	2015-07-27	6	2015-08-04	Success	NA	0.995810505961972	1	HPSI1013i-pamv_3	1	male	22	30
podx_1	podx	1	1	2015-01-14	2015-06-06	32	frozen	E8	2015-06-23	36	2015-06-26	2015-07-22	2015-07-22	2015-07-21	5	2015-07-24	Success	NA	0.980583543240974	0.982682619647355	HPSI1113i-podx_1	1	female	17	30
qony_1	qony	1	1	2015-01-14	2015-06-06	30	frozen	E8	2015-06-27	34	2015-06-30	NA	NA	NA	7	2015-08-11	Diff_fail	NA	NA	NA	HPSI0613i-qony_1	0	female	21	30
qorq_1	qorq	1	1	2015-01-14	2015-05-21	28	frozen	E8	2015-06-05	32	2015-06-08	NA	NA	NA	5	2015-07-08	Diff_fail	Infrequent MC.	NA	NA	HPSI1113i-qorq_1	1	male	15	30
robp_3	robp	3	1	2015-01-14	2015-03-09	36	frozen	E8	2015-03-27	40	2015-03-30	NA	NA	NA	7	2015-05-06	Diff_fail	NA	NA	NA	HPSI0813i-robp_3	0	male	18	40
rozh_5	rozh	5	1	2015-01-14	2015-05-21	31	frozen	E8	2015-06-05	35	2015-06-08	NA	NA	2015-07-21	9	2015-07-29	FC_QC_fail	NA	0.835216572504708	0.846650524616626	HPSI0114i-rozh_5	1	female	15	30
ruql_3	ruql	3	1	2015-01-14	2015-02-23	24	frozen	E8	2015-03-13	28	2015-03-16	NA	NA	NA	11	2015-05-15	Diff_fail	NA	NA	NA	HPSI0913i-ruql_3	0	female	18	20
ruyv_1	ruyv	1	1	2015-01-14	2015-02-04	24	frozen	KSR	2015-02-27	27	2015-03-02	2015-04-14	2015-04-17	2015-04-28	9	2015-04-21	Success	NA	0.959751308900524	0.961223821989529	HPSI0713i-ruyv_1	0	female	23	20
sebz_1	sebz	1	1	2015-01-14	2015-03-10	44	frozen	E8	2015-03-30	48	2015-04-02	NA	NA	2015-05-14	8	2015-05-15	Diff_fail	NA	0.854351499788762	0.86723700887199	HPSI1013i-sebz_1	1	female	20	40
sukz_1	sukz	1	1	2015-01-14	2015-03-09	23	frozen	E8	2015-03-27	27	2015-03-30	2015-05-06	2015-05-06	2015-05-05	8	2015-05-08	Success	Keep for Sebastian.	0.993752788933512	0.999776885319054	HPSI0413i-sukz_1	0	male	18	20
suzg_3	suzg	3	1	2015-01-14	2015-05-21	26	frozen	E8	2015-06-05	30	2015-06-08	NA	NA	NA	8	2015-07-29	Diff_fail	Infrequent MC (first 2), suzq_3 -> susg_3 spelling corrected.	NA	NA	HPSI0513i-suzg_3	0	female	15	30
uimo_1	uimo	1	1	2015-01-14	2015-02-04	39	frozen	E8	2015-02-21	43	2015-02-24	2015-04-01	2015-04-17	2015-04-13	10	2015-04-10	Success	NA	0.985654761904762	0.988035714285714	HPSI0713i-uimo_1	0	female	17	40
vabj_3	vabj	3	1	2015-01-14	2015-09-14	28	frozen	E8	2015-09-30	32	2015-10-03	NA	NA	2015-11-03	7	2015-11-11	FC_QC_fail	NA	0.911439338682227	0.936907366885485	HPSI0114i-vabj_3	1	female	16	30
vass_1	vass	1	1	2015-01-14	2015-03-10	27	frozen	E8	2015-03-26	31	2015-03-29	2015-04-24	2015-04-24	2015-04-23	7	2015-04-29	Success	NA	0.953984753984754	0.981704781704782	HPSI0114i-vass_1	1	female	16	30
veqz_6	veqz	6	1	2015-01-14	2015-03-13	27	frozen	E8	2015-03-30	31	2015-04-02	2015-05-06	2015-05-06	2015-05-05	8	2015-05-12	Success	NA	0.971101444927754	0.973751312434378	HPSI0513i-veqz_6	0	female	17	30
wibj_2	wibj	2	1	2015-01-14	2015-03-10	25	frozen	E8	2015-03-27	29	2015-03-30	2015-04-28	NA	2015-04-23	8	2015-04-29	Success	NA	0.921697443181818	0.924715909090909	HPSI0214i-wibj_2	1	female	17	20
xavk_3	xavk	3	1	2015-01-14	2015-02-23	22	frozen	E8	2015-03-17	26	2015-03-20	NA	NA	2015-04-28	6	2015-04-27	FC_QC_fail	Contaminating cell type	0.780052213124481	0.783018867924528	HPSI0613i-xavk_3	0	female	22	20
xucm_3	xucm	3	1	2015-01-14	2015-03-13	29	frozen	E8	2015-03-30	33	2015-04-02	2015-05-13	2015-05-13	2015-05-14	6	2015-05-12	Success	Keep for Seabstian.	0.979376647542255	1	HPSI0613i-xucm_3	0	female	17	30
xugn_1	xugn	1	1	2015-01-14	2015-05-21	23	frozen	E8	2015-06-08	27	2015-06-11	2015-07-22	2015-07-22	2015-07-21	8	2015-07-24	Success	NA	0.976953907815631	0.980818780417979	HPSI0314i-xugn_1	1	male	18	20
yemz_1	yemz	1	1	2015-01-14	2015-03-10	25	frozen	E8	2015-03-20	27	2015-03-23	2015-04-24	NA	2015-04-23	9	2015-05-07	Success	NA	0.995252008765522	0.997443389335281	HPSI1013i-yemz_1	1	male	10	20
